"condition_id","n","p_L","ICC","rho","u_q4","u_q10","stab_q4","stab_q10","nn_subj","nn_row","mcse_u_q4","mcse_u_q10","mcse_stab_q4","mcse_stab_q10","mcse_nn_subj","mcse_nn_row"
1,50,2,0,0.3,0.035827891708036,0.714029584177975,0.0899240384922789,0.0159944604387644,0.0334248395982522,0.0284533333333333,0.000663961234406603,0.00229225925360181,0.0010819688953128,0.000495866638118384,0.000650144216317676,0.00030699130730077
2,50,2,0.1,0.3,0.0352642141376949,0.718212987332809,0.148197417949236,0.030825358427903,0.0643986208953564,0.0443466666666667,0.000762507070657653,0.0023865229431524,0.00136236430248106,0.000696939724585747,0.000861108412041299,0.000460838456116022
3,50,2,0.3,0.3,0.0347201363185255,0.709495151587644,0.240617867487889,0.0595421480596963,0.121154253283801,0.0736266666666667,0.000879603169863227,0.00307836489942863,0.00178097195339617,0.000917137768995302,0.00122735477418103,0.000581602169179024
4,50,2,0.5,0.3,0.0361357461370472,0.71395485493978,0.334037398128055,0.0912984628382348,0.189390353303929,0.110276666666667,0.00097976240605606,0.00333119366640459,0.00238447252402761,0.00118065926274511,0.00184009248078497,0.000881743330538536
5,50,2,0.7,0.3,0.0330794102674053,0.7177839922434,0.450018506976296,0.149147234809314,0.302519031805817,0.177003333333333,0.00105637603614583,0.00343835331756158,0.00290984223262337,0.00170128687185179,0.00231973839177084,0.0013466421005438
6,50,2,0.9,0.3,0.0338589157217848,0.71782737706574,0.640404851524675,0.297765700436155,0.551928107094681,0.363176666666667,0.00114829074670168,0.00366564057484992,0.00255309570562223,0.00205353348166304,0.00296744486247382,0.002088611952549
7,50,2,0.95,0.3,0.0352259448934596,0.713426439162858,0.724274657324526,0.398025449740969,0.693586114713642,0.508796666666667,0.00113435619023042,0.00418963899353729,0.0026558106508666,0.00286454421277742,0.00275175189567319,0.00268730164240134
8,50,2,0.99,0.3,0.0358771602397177,0.720878370265346,0.846926532225489,0.625959073854803,0.910075388342773,0.820393333333333,0.0012730195703748,0.00421576194665813,0.00185543145929944,0.00260866785808386,0.00186153451306536,0.00223923787585344
9,50,2,1,0.3,0.0356919066806622,0.721827717497662,1,1,1,1,0.00128451281307598,0.00436354255539177,0,0,0,0
10,50,2,0,0.7,0.0357956636614673,0.718976399429917,0.163071684216223,0.0356219761146211,0.0727741363365996,0.0480366666666667,0.00082558647083542,0.00251560421473163,0.00151980464803155,0.00075502999001713,0.000822168198368568,0.000413809567867832
11,50,2,0.1,0.7,0.0355990485511606,0.713355368272883,0.204681680268714,0.0503915378222131,0.098348017626416,0.0607333333333333,0.000819908290796287,0.00300107853109234,0.00174821338779995,0.000899322072521544,0.00111470072247457,0.000543311187389718
