"condition_id","fixed_comp","p_L","ICC","rho","n","p_F","s_F","s_L","s_joint","nnrow_F","nnrow_L","nnrow_joint","mcse_s_F","mcse_s_L","mcse_s_joint","mcse_nnrow_F","mcse_nnrow_L","mcse_nnrow_joint","increment"
24,"5 binary",5,0.7,0.3,50,5,0.519609875115212,0.808713343834066,0.98674088113955,0.519686666666667,0.55344,0.95824,0.00237246658170909,0.00198765180121789,0.000597790138097201,0.00237799755294429,0.00233185614882811,0.000980810180266928,0.178027537305484
25,"none",2,0.9,0.3,50,0,NA,0.554589295977487,0.554589295977487,NA,0.36668,0.36668,NA,0.00288339528227227,0.00288339528227227,NA,0.00225484630997999,0.00225484630997999,0
26,"1 continuous",2,0.9,0.3,50,1,1,0.548562064472976,0.883277941073502,1,0.361616666666667,0.7414,0,0.00279917103183663,0.00197213541748264,0,0.00217285130713158,0.00263044495241449,-0.116722058926498
27,"2 continuous",2,0.9,0.3,50,2,1,0.554892058692268,0.976911484548042,1,0.36764,0.92376,0,0.002860372540227,0.000707990595654844,0,0.00229367026468106,0.001275137329616,-0.0230885154519577
28,"5 continuous",2,0.9,0.3,50,5,1,0.549163026776268,0.999822594890408,1,0.362596666666667,0.998923333333333,0,0.00288527459493514,4.38380709759518e-05,0,0.00211181250066563,0.000101982306519829,-0.00017740510959241
29,"2 continuous + 3 binary",2,0.9,0.3,50,5,1,0.545773431100876,0.996587249978833,1,0.359716666666667,0.987183333333333,0,0.00295079262436179,0.000272763163938713,0,0.00222483539124725,0.000516039496148992,-0.00341275002116737
30,"5 binary",2,0.9,0.3,50,5,0.525444576776618,0.54737782656775,0.968650835025079,0.52561,0.361743333333333,0.934283333333333,0.00257246537163947,0.00280026770932801,0.00108979919021591,0.00256434896116731,0.00216642404259376,0.00152035463772622,0.421273008457328
31,"none",5,0.9,0.3,50,0,NA,0.976423004935383,0.976423004935383,NA,0.908363333333333,0.908363333333333,NA,0.000682352156115255,0.000682352156115255,NA,0.00141786320540279,0.00141786320540279,0
32,"1 continuous",5,0.9,0.3,50,1,1,0.975804455218926,0.993642374919576,1,0.90818,0.972026666666667,0,0.00064637745099239,0.000317337655782754,0,0.00144038978222382,0.000670055707410169,-0.00635762508042359
33,"2 continuous",5,0.9,0.3,50,2,1,0.974934454419198,0.998741930373655,1,0.906806666666667,0.99293,0,0.000665874435496757,0.000119560006743241,0,0.00143960561321774,0.000270115780539948,-0.00125806962634523
34,"5 continuous",5,0.9,0.3,50,5,1,0.9753227234998,0.999968740953828,1,0.906683333333333,0.999813333333333,0,0.000721693800526688,2.32535962104876e-05,0,0.00149897741060318,3.31350888790049e-05,-3.12590461716278e-05
35,"2 continuous + 3 binary",5,0.9,0.3,50,5,1,0.975838803787416,0.999833465588363,1,0.908746666666667,0.99914,0,0.0008030440567546,4.9325403633551e-05,0,0.00148349986831697,8.11131379629431e-05,-0.000166534411636943
36,"5 binary",5,0.9,0.3,50,5,0.526336662330325,0.975013268682889,0.999079212911554,0.526456666666667,0.906746666666667,0.996303333333333,0.00263564958766407,0.000786184555130357,0.00012965365330841,0.00266904239859851,0.00142831351903368,0.000239336394114516,0.0240659442286657
37,"none",2,0.3,0.7,50,0,NA,0.153575769352445,0.153575769352445,NA,0.08891,0.08891,NA,0.00140097507294845,0.00140097507294845,NA,0.000682151447577151,0.000682151447577151,0
38,"1 continuous",2,0.3,0.7,50,1,1,0.150743575757945,0.446399932986458,1,0.08797,0.27683,0,0.00146423208958745,0.00230694365250592,0,0.000749305243069882,0.00157089310164476,-0.553600067013542
39,"2 continuous",2,0.3,0.7,50,2,1,0.151967673844364,0.710663554426525,1,0.0882266666666667,0.506433333333333,0,0.00144358092986843,0.00250771016019823,0,0.000765627290502391,0.00236842598632678,-0.289336445573475
40,"5 continuous",2,0.3,0.7,50,5,1,0.150418819202789,0.975287971663704,1,0.0880766666666667,0.91612,0,0.00153903849077983,0.000636350332760703,0,0.000761821812157215,0.00123998847277652,-0.024712028336296
41,"2 continuous + 3 binary",2,0.3,0.7,50,5,1,0.150176533817462,0.917464201282192,1,0.0880633333333333,0.819646666666667,0,0.00141738818278444,0.00147923826606214,0,0.000728698579117008,0.00197449912370279,-0.0825357987178084
42,"5 binary",2,0.3,0.7,50,5,0.522060543219839,0.152336350092695,0.803038944282248,0.52199,0.0873266666666667,0.71469,0.00234711465435509,0.00141091425518953,0.00241040585826383,0.00233941527290378,0.000720939736630321,0.00239120563261355,0.280978401062409
43,"none",5,0.3,0.7,50,0,NA,0.455473990420307,0.455473990420307,NA,0.22659,0.22659,NA,0.00263866514348381,0.00263866514348381,NA,0.00148382063401382,0.00148382063401382,0
44,"1 continuous",5,0.3,0.7,50,1,1,0.451487883146561,0.665145642640905,1,0.225286666666667,0.395756666666667,0,0.00259998635413395,0.00233655302221193,0,0.00149127003607373,0.00198960547029175,-0.334854357359095
45,"2 continuous",5,0.3,0.7,50,2,1,0.46087595660042,0.814370402169459,1,0.22799,0.571313333333333,0,0.00286294006449136,0.00192980233955271,0,0.00154615914317891,0.00236826642796234,-0.185629597830541
46,"5 continuous",5,0.3,0.7,50,5,1,0.461671390905339,0.974946123135726,1,0.228716666666667,0.900993333333333,0,0.00255248036418355,0.000602663686762852,0,0.0015449052632681,0.00124797985280592,-0.0250538768642742
47,"2 continuous + 3 binary",5,0.3,0.7,50,5,1,0.45443267135416,0.951688212869199,1,0.225253333333333,0.854526666666667,0,0.00255541098206209,0.0010717305871439,0,0.00146443838649089,0.00182804988648916,-0.0483117871308014
48,"5 binary",5,0.3,0.7,50,5,0.526799643061155,0.454440112475154,0.925699373997321,0.526303333333333,0.22629,0.831226666666667,0.00244607895777015,0.00242693897068771,0.00139240112974142,0.00248393519625308,0.00145055546841403,0.00175384360549,0.398899730936166
49,"none",2,0.7,0.7,50,0,NA,0.338496738974707,0.338496738974707,NA,0.196023333333333,0.196023333333333,NA,0.00236301029842489,0.00236301029842489,NA,0.00142486005856294,0.00142486005856294,0
50,"1 continuous",2,0.7,0.7,50,1,1,0.338002933724836,0.708080760544577,1,0.196823333333333,0.500136666666667,0,0.00243775468802084,0.00262278616065741,0,0.00150067156007289,0.00248678157053741,-0.291919239455423
51,"2 continuous",2,0.7,0.7,50,2,1,0.336182111907273,0.893957145754069,1,0.195223333333333,0.744936666666667,0,0.00255349296486139,0.00167201907114883,0,0.0015727564560049,0.00215514963770864,-0.106042854245931
52,"5 continuous",2,0.7,0.7,50,5,1,0.335521206371027,0.996164156413868,1,0.194803333333333,0.983353333333333,0,0.00234246350294726,0.000216155677953688,0,0.00130265628633765,0.0004576030576245,-0.00383584358613243
53,"2 continuous + 3 binary",2,0.7,0.7,50,5,1,0.336684015863019,0.978814314173142,1,0.194376666666667,0.93771,0,0.00221487175011721,0.000728361969008866,0,0.00142864198557514,0.00120336005946647,-0.021185685826858
54,"5 binary",2,0.7,0.7,50,5,0.52285454661606,0.33510290340141,0.914030905531689,0.523143333333333,0.193693333333333,0.849046666666667,0.00252352690402297,0.00242496258814704,0.00188603987680837,0.00252750531906696,0.00146079867708937,0.00212970540555758,0.39117635891563
55,"none",5,0.7,0.7,50,0,NA,0.843145240339311,0.843145240339311,NA,0.607093333333333,0.607093333333333,NA,0.00190638706665394,0.00190638706665394,NA,0.00241550935149001,0.00241550935149001,0
