"iter","lambda","coef_l2","auroc_true","auroc_naive","auroc_subject","brier_true","brier_naive","brier_subject","condition_id","arm","p_F","p_L","n","R2","is_main_rule"
1,0.2,0.204104078699244,0.587052593797021,0.592,0.392,0.244985399271698,0.24314257000267,0.266432881673228,1,"A_fixed",2,0,50,0.05,FALSE
1,0.05,0.31349190919287,0.588705936270785,0.592,0.4176,0.244250197388604,0.24179814416947,0.2711253634234,1,"A_fixed",2,0,50,0.05,FALSE
1,0.01,0.367503474856117,0.589446035858585,0.5952,0.4256,0.244357481645735,0.241693076059824,0.274035527536312,1,"A_fixed",2,0,50,0.05,FALSE
1,0.001,0.382564157187658,0.589629260513295,0.5952,0.4272,0.244439462361386,0.241725861684308,0.274921330512182,1,"A_fixed",2,0,50,0.05,FALSE
1,0.000396052545923595,0.383623553260919,0.589647662989532,0.5952,0.4272,0.244446060531443,0.241729161059479,0.274985356187097,1,"A_fixed",2,0,50,0.05,TRUE
1,1e-04,0.3841373268186,0.589657744346079,0.5952,0.4272,0.244449258757092,0.241730805547003,0.275016991643663,1,"A_fixed",2,0,50,0.05,FALSE
2,0.2,0.507259955418157,0.597358924252734,0.777777777777778,0.692708333333333,0.270323995082928,0.190309237929208,0.205061199625083,1,"A_fixed",2,0,50,0.05,FALSE
2,0.05,0.839781672164661,0.596450795927019,0.777777777777778,0.706597222222222,0.278373413968084,0.179206064757235,0.20026442960473,1,"A_fixed",2,0,50,0.05,FALSE
2,0.01,1.05954024534817,0.595968032087201,0.776041666666667,0.710069444444444,0.286116000149123,0.176459594229693,0.20177905114092,1,"A_fixed",2,0,50,0.05,FALSE
2,0.001,1.1351807522883,0.595767615348651,0.776041666666667,0.706597222222222,0.288988317767391,0.17611794534002,0.202912068628416,1,"A_fixed",2,0,50,0.05,FALSE
2,0.000396052545923595,1.14084823280882,0.595754468010603,0.776041666666667,0.704861111111111,0.289206028373254,0.176102717124273,0.203007746762738,1,"A_fixed",2,0,50,0.05,TRUE
2,1e-04,1.14366137934716,0.595747894341578,0.776041666666667,0.704861111111111,0.289314196296198,0.176095663969786,0.203055775713059,1,"A_fixed",2,0,50,0.05,FALSE
3,0.2,0.305135503459131,0.596321496286142,0.668402777777778,0.522569444444444,0.257137210060985,0.217164381334419,0.236188877299704,1,"A_fixed",2,0,50,0.05,FALSE
3,0.05,0.485633014384913,0.589906802794714,0.675347222222222,0.552083333333333,0.259144914035158,0.213556839700465,0.238297440868891,1,"A_fixed",2,0,50,0.05,FALSE
3,0.01,0.58894978848039,0.586037655679418,0.673611111111111,0.557291666666667,0.261852159977652,0.212622450966157,0.240667629478652,1,"A_fixed",2,0,50,0.05,FALSE
3,0.001,0.620648955772698,0.584868942682717,0.673611111111111,0.559027777777778,0.262869299646548,0.212470346913624,0.2415768887992,1,"A_fixed",2,0,50,0.05,FALSE
3,0.000396052545923595,0.623006831308733,0.584783962865423,0.673611111111111,0.559027777777778,0.262951048668875,0.21246154150149,0.241647510987813,1,"A_fixed",2,0,50,0.05,TRUE
3,1e-04,0.624140852804658,0.584743076349556,0.673611111111111,0.560763888888889,0.262989246637856,0.212457316414375,0.241685221754358,1,"A_fixed",2,0,50,0.05,FALSE
4,0.2,0.0742793458100953,0.619297651744202,0.545454545454545,0.24512987012987,0.252360383966326,0.245582604983616,0.265423356799977,1,"A_fixed",2,0,50,0.05,FALSE
4,0.05,0.113690161533685,0.619580701578924,0.542207792207792,0.267857142857143,0.250664310041699,0.245435560108545,0.26931590966734,1,"A_fixed",2,0,50,0.05,FALSE
